Completed,Title,Author,Type,Genre ,Rating,
,Tropic of Cancer,Henry Miller,Fiction,Autobiographical,4/5,Such a cracy raunchy book. It was shocking even by today's standards. I found it funny and enjoyable but mostly interesting to get a truly unique view on the world and of a different time. I would read another of his books.
7/20/2017,How Emotions Are Made,Lisa Feldman Barrett,Nonfiction,Cognition,5/5,I've been scooped. It was like reading a book that I wrote. She explained the theory that I've been working on since I started this AI work. At first I was pissed but then I was just happy for the validation. Such a good book. She nailed it. 
7/10/2017,The Bed of Procrustes,Nassim Nicholas Taleb,Nonfiction,Philosophy,3.9/5,"I used to love aphorisms, but as I've learned how ambiguous language can be, I've lost that love. I prefer longer form writing now. Maybe this is a phse too. I still enjoyed the thoughts in this book. I'll reread it again in the future as it's contents are best consumed as fragments over time and thoroughly digested."
6/27/2017,Ego is the Enemy,Ryan Holiday,Nonfiction,Philosophy,3.5/5,"It was enjoyable but it often felt very generic—almost self 'helpy'. I liked the subject matter but it seems like he would assume too much at times. So while one statement would be based on logic the next would assume something without any grounds for doing so. For instance, he wraps up the book with a section on love which is too abstract for a concrete stoic philosophy inspired book. A better term like gratitude should have been picked or a specific concept like a sense of connectedness. To just say ""love"" felt like he was pulling from a canned and assumed shared belief system which didn't resonate with the topic at hand at all. "
6/27/2017,Intelligence: A Very Short Introduction,Ian Deary,Nonfiction,Science,4/5,"It wasn't what I expected. I thought it would explore intelligence itself but it was all about human testing of intelligence. However, I really enjoyed the topic and learned a few things."
6/22/2017,The Genius of Birds,Jennifer Ackerman,Nonfiction,Biology/Cognition,4/5,"A very well written book. It ded feel repetative at times and the most ineteresting aspects to me were about bird cognition but these parts were the skimpiest. Still though, I enjoyed the read."
6/18/2017,A Portrait of the Artist as a Young Man,James Joyce,Fiction,Novel,2/5,I really wanted to like this book. I definitely did not. There was so much religions stuff that just droned on. I liked the later sections where he is thinking things through for himself. I with the whole book was like that. To just have 20-30 page chuncks of sermon after sermon was brutal to read. It might be a while if ever I try to read another Joyce novel.
6/4/2017,Other Minds,Peter Godfrey-Smith,Nonfiction,Biology/Philosophy,4/5,"An enjoyable read. I liked the exploration of intelligence, but found the philosophical parts unfocused and detached from the more scientific aspects. The last chapter completely abandoned the topic of the book and discussed oncean conservation which is a worthy topic, but just not the one of the book."
5/25/2017,Are We Smart Enough to Know How Smart Animals Are?,Frans de Waal,Nonfiction,Biology,4/5,"This was an interesting book and I really enjoyed the subject matter but it never really delved deeper than surface level mentions of studies. i wanted more details note more general examples. I suppose it served his purpose of simply convincing people that animals have cognition as we do, but I've always thought that. I was interested in more details on intelligence, not whether animals have any! Still though, I enjoyed the read."
5/17/2017,Kite Runner,Khaled Hosseini,Fiction,Historical Fiction,3/5,"I'm glad it's over. I really enjoyed the first part of the book but then it just dragged me throught the mud. I suppose exposure to the perspective of the story was good but it was more of a lesson on how shitty life in parts of the world could be than entertainment. But mostly the writing was just shit. Constant heavy handed foreshadowing, odd sentence sctructure... eh, I really wanted to like the book after getting attached to the characters early on, but the book just spiraled out of control."
5/11/2017,10 of December,George Saunders,Fiction,short stories,5/5,"Amazing writer. He is now one of my favorites. Each story had its strengths but something about ""Sticks"" stuck with me. It's brevity, wit, and impact were so impactful."
5/10/2017,The Black Swan,Nassim Nicholas Taleb,Nonfiction,uncertainty,5/5,Amazing. One of the best books I've ever read. I should read again; and again; and again.
4/22/2017,Gratitude,Oliver Sacks,Nonfiction,autobiography,5/5,He was a great writer. I enjoyed the subject matter and his style. I've been wanting to read one of his books for a while. This was a nice introduction to his writing even if it was the last of it.
4/21/2017,Armada,Ernest Cline,Fiction,Science Fiction,4/5,"I really enjoyed reading this. It wasn't horribly written but it wasn't a literary masterpiece to say the least. Like with his first book, I found the subject matter itself provided enough enjoyment to overshadow the often subpar prose. "
4/11/2017,Player Piano,Vonnegut ,Fiction,Science Fiction,2/5,I really did not enjoy this one. I thought for sure I would have since the topic (automation/mechanization/AI) is my main interest. It just was boring to me though. It was his first book and it really showed. It killed my love of reading for a while there. 
2/18/2017,Fooled by Randomness,Nassim Nicholas Taleb,Nonfiction,Economics,5/5,I loved this book. I learned so much.
2/9/2017,The Snowball: Warren Buffett and the Business of Life,Alice Schroeder,Nonfiction,Biography,4/5,"I really enjoyed learning about Buffett, primarly his early years. It was very long and detailed though.The later years focused too much on specific deals he made which I suppose were important for context, but weren't that educational or entertaining. "
2/5/2017,Flash Boys,Michael Lewis,Nonfiction,Finance,4/5,"I've always heard that Lewis was a good author. He definitely is. This book was very well written and informative. It felt repetitive at points, though I understand the need since the average reader would have a hard time grasping the concept of latency and how it enables arbitrage. "
1/31/2017,Stock Market Investing For Beginners,Tycho Press,Nonfiction,Investing,4/5,Short but detailed. A good reference to keep around as well.
1/28/2017,Stock Market 101,Michele Cagan,Nonfiction,Investing,4/5,"It was an enjoyable, light, introduction to various aspects of the market. "
1/21/2017,Darkness at Noon,Arthur Koestler,Fiction,Dystopia,3.5/5,"It was well written and thought provoking, but I didn't enjoy the ride. It was a lesson on the logical errors inherent to comunism—which I'm glad I read."
1/17/2017,"Emergence: The connected lives of ants, brains, cities, and software",Steven Johnson,Nonfiction,Science,2/5,"This was a real slog. The author had a tenuous grasp on complexity theory and seemed to miss just how significant emergence is. His examples were horribly uninteresting. At times he just rambles on about things that seem unimportant. I couldn't imagine reading a more boring book on a more interesting subject. The only joy I felt from this book was from the accomplishment of getting through it. There were a few thoughts that the book provoked in passing, which is the only reason why I gave it a 2 instead of a 1."
